"id","type","model_name","source_uri","x","y","z","roll","pitch","yaw"
"30","bush","Bush 2_clone_clone_1_clone_4","model://bush_2/meshes/bush_2.obj","-7.62479","10.3688","0","1.57079","0","0"
"31","bush","Bush 2_clone_clone_1_clone_5","model://bush_2/meshes/bush_2.obj","-5.97278","12.6192","0","1.57079","0","0"
"32","tree","world_jean_tree_017_clone_4","model://world_jean_tree/meshes/world_jean_tree.obj","6.12479","-9.55925","0","0","0","-0.96364"
"33","tree","world_jean_tree_017_clone_5","model://world_jean_tree/meshes/world_jean_tree.obj","-8.52875","-9.58702","0","0","0","-0.96364"
"34","tree","world_jean_tree_017_clone_6","model://world_jean_tree/meshes/world_jean_tree.obj","-10.9456","-9.66295","0","0","0","-0.96364"
"35","tree","world_jean_tree_017_clone_7","model://world_jean_tree/meshes/world_jean_tree.obj","-13.8094","-4.12286","0","0","0","-0.96364"
"36","tree","world_jean_tree_014_clone","model://world_jean_tree/meshes/world_jean_tree.obj","11.0729","12.0525","0","0","0","-0.140443"
"37","tree","world_jean_tree_014_clone_0","model://world_jean_tree/meshes/world_jean_tree.obj","15.2294","9.8392","0","0","0","-0.140443"
"38","tree","world_jean_tree_014_clone_1","model://world_jean_tree/meshes/world_jean_tree.obj","16.3188","7.11802","0","0","0","-0.140443"
"39","bush","Bush 3","model://bush_3/meshes/bush_3.obj","1.79788","-10.9738","0","1.57079","0","0"
"40","bush","Bush 3_clone","model://bush_3/meshes/bush_3.obj","0.185512","-12.7582","0","1.57079","0","0"
"41","bush","Bush 3_clone_0","model://bush_3/meshes/bush_3.obj","3.10593","-13.3626","0","1.57079","0","0"
"42","bush","Bush 3_clone_1","model://bush_3/meshes/bush_3.obj","2.80683","11.7862","0","1.57079","0","0"
"43","bush","Bush 3_clone_2","model://bush_3/meshes/bush_3.obj","4.00314","14.5781","0","1.57079","0","0"
"44","bush","Bush 3_clone_3","model://bush_3/meshes/bush_3.obj","2.06905","14.0669","0","1.57079","0","0"
"45","bush","Bush 3_clone_3_clone","model://bush_3/meshes/bush_3.obj","5.68897","4.83527","0","1.57079","0","0"
"46","bush","Bush 2_clone_clone_0_clone","model://bush_2/meshes/bush_2.obj","-3.24013","-6.28072","0","1.57079","0","0"
"47","tree","world_jean_tree_017_clone_6_clone","model://world_jean_tree/meshes/world_jean_tree.obj","-14.1372","-12.4257","0","0","0","-0.96364"
"48","tree","world_jean_tree_017_clone_6_clone_0","model://world_jean_tree/meshes/world_jean_tree.obj","-13.51","-8.90631","0","0","0","-0.96364"
"49","tree","world_jean_tree_017_clone_3_clone","model://world_jean_tree/meshes/world_jean_tree.obj","21.7624","11.0588","0","0","0","-0.96364"
"50","tree","world_jean_tree_017_clone_3_clone_0","model://world_jean_tree/meshes/world_jean_tree.obj","18.7706","12.0455","0","0","0","-0.96364"
"51","bush","Bush 3_clone_4","model://bush_3/meshes/bush_3.obj","17.1021","-10.6666","0","1.57079","0","0"
"52","bush","Bush 3_clone_5","model://bush_3/meshes/bush_3.obj","18.6119","-8.9659","0","1.57079","0","0"
"53","bush","Bush 3_clone_6","model://bush_3/meshes/bush_3.obj","21.1105","-7.86362","0","1.57079","0","0"
"54","bush","Bush 3_clone_7","model://bush_3/meshes/bush_3.obj","20.08","-11.3561","0","1.57079","0","0"
"55","bush","Bush 3_clone_8","model://bush_3/meshes/bush_3.obj","16.4936","-7.93905","0","1.57079","0","0"
